raca,sexo,faixaEtaria,CO_MUNICIPIO_ESC,depAdminEsc,TP_ESCOLA,educMae,ocupPai,pessoasResid,rendFam,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_REDACAO,raca2,tpEscola,media,rendFamP
Parda,F,< 23,3550308,Estadual,2,12,G3,4,2750,410.9,473.7,516.5,487.2,760,PPI,Publica,472.075,687.5
Branca,F,< 23,,,1,,G2,4,2200,,,,,,Branca,,,550
Parda,M,24-30,,,1,5,G3,2,2200,,,,,,PPI,,,1100
Branca,M,< 23,,,1,12,G4,4,4400,711.8,507.9,380.6,442.2,880,Branca,,510.625,1100
Parda,M,< 23,,,1,16,G2,3,1650,586.1,526.9,560.4,510.8,580,PPI,,546.05,550
Branca,F,> 50,,,1,2,G3,2,4400,,,,,,Branca,,,2200
Branca,F,< 23,3520400,Estadual,2,2,G3,4,2200,537.4,459.2,484.2,444.4,600,Branca,Publica,481.3,550
Branca,M,< 23,,,1,12,G3,3,3300,618.3,505.2,607.4,595.9,900,Branca,,581.7,1100
Branca,M,24-30,,,1,16,G2,3,1650,707.5,512.7,657.5,612.9,680,Branca,,622.65,550
Preta,F,24-30,,,1,5,G3,5,2200,,,,,,PPI,,,440
Parda,F,31-50,,,1,2,G4,3,1100,,,,,,PPI,,,366.666666666667
Parda,F,< 23,3506508,Estadual,2,9,G3,4,5500,,,,,,PPI,Publica,,1375
Parda,F,< 23,,,1,16,G3,4,3300,637.6,617.6,693.3,521.9,720,PPI,,617.6,825
Branca,F,< 23,3550308,Privada,2,12,G3,4,5500,499.1,444.5,411.5,411.8,0,Branca,Publica,441.725,1375
Branca,F,31-50,,,1,2,G1,3,2200,,,,,,Branca,,,733.333333333333
Branca,M,< 23,3506003,Privada,3,17,G4,4,8800,761.1,637.4,672.6,695.1,800,Branca,Privada,691.55,2200
Preta,F,< 23,3515707,Estadual,2,2,G3,4,4400,668.1,,,512.3,,PPI,Publica,,1100
Branca,M,< 23,3525300,Estadual,2,,G3,2,1650,456,450.9,491.1,384.2,640,Branca,Publica,445.55,825
Preta,F,< 23,,,2,12,G3,4,3300,,,,,,PPI,Publica,,825
Branca,F,< 23,,,1,9,G2,2,4400,474.6,486.1,471.3,412.6,600,Branca,,461.15,2200
